key,value
Bank,Culture
City,CharlesTown
Product Type,Crypto
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,300
Product Name,my prop
Revenue per subscriber,100
 Money Needs,"Know my finances are ok,Feel protected from today's new threats,Get the best solution to a problem"
Customer Needs,"Feel organisation is looking after my money,have flexibility with my provider,Work with an orgnisation that is transparent and fair"
Sustainability Needs,"I want my products to have carbon offsets or donate to environmental causes,I want to be rewarded for using sustainable products and services,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Digital Pioneers,Living for Today,Ambitious Strivers"
Predicted Subscriber Count,1607
Total Revenue,160700
